x_mm,y_mm,z_mm
-6.7522689184,17.6776695297,38.9438995882
17.6776695297,28.6030701409,23.8474728337
10.9254006112,28.6030701409,33.2620612117
6.7522689184,17.6776695297,38.9438995882
10.9254006112,10.9254006112,33.0408804454
17.6776695297,17.6776695297,23.7107756025
-10.9254006112,17.6776695297,14.2961872244
0.0000000000,10.9254006112,17.8077564597
10.9254006112,17.6776695297,14.2961872244
-10.9254006112,28.6030701409,33.2620612117
-17.6776695297,28.6030701409,23.8474728337
0.0000000000,35.3553390593,29.7504919765
-28.6030701409,6.7522689184,39.5229583520
-35.3553390593,10.9254006112,30.3295507403
-28.6030701409,10.9254006112,39.3017775857
-17.6776695297,17.6776695297,42.8133468210
-17.6776695297,28.6030701409,35.6535111192
-10.9254006112,46.2807396705,-3.2903884690
10.9254006112,28.6030701409,4.2273252303
28.6030701409,6.7522689184,39.5229583520
35.3553390593,10.9254006112,30.3295507403
17.6776695297,28.6030701409,35.6535111192
28.6030701409,10.9254006112,39.3017775857
17.6776695297,17.6776695297,42.8133468210
28.6030701409,17.6776695297,28.2959788302
35.3553390593,17.6776695297,29.9716727428
28.6030701409,28.6030701409,27.7169200665
39.5284707521,17.6776695297,24.4265315975
28.6030701409,6.7522689184,-39.5229583520
17.6776695297,17.6776695297,-42.8133468210
28.6030701409,10.9254006112,-39.3017775857
10.9254006112,28.6030701409,-33.9778172067
17.6776695297,17.6776695297,-36.2325698830
10.9254006112,17.6776695297,-45.2047967285
6.7522689184,28.6030701409,-39.5229583520
17.6776695297,10.9254006112,-43.1712248185
-46.2807396705,6.7522689184,-14.8752459882
-46.2807396705,10.9254006112,-3.2903884690
-39.5284707521,17.6776695297,-24.4265315975
-46.2807396705,10.9254006112,-15.0964267545
-28.6030701409,28.6030701409,-27.7169200665
-39.5284707521,10.9254006112,-24.0686536000
-35.3553390593,17.6776695297,-29.9716727428
10.9254006112,28.6030701409,-4.2273252303
0.0000000000,46.2807396705,11.2269795218
-10.9254006112,28.6030701409,-4.2273252303
0.0000000000,28.6030701409,-12.1639162831
0.0000000000,35.3553390593,-19.1025712185
-10.9254006112,35.3553390593,14.5173679907
0.0000000000,39.5284707521,18.1656344572
6.7522689184,28.6030701409,8.6143488480
-6.7522689184,28.6030701409,8.6143488480
10.9254006112,35.3553390593,14.5173679907
0.0000000000,6.7522689184,-29.3926139790
10.9254006112,17.6776695297,-14.2961872244
0.0000000000,10.9254006112,-17.8077564597
-6.7522689184,17.6776695297,-38.9438995882
10.9254006112,10.9254006112,-33.0408804454
17.6776695297,17.6776695297,-23.7107756025
6.7522689184,17.6776695297,-38.9438995882
-10.9254006112,28.6030701409,-33.2620612117
-10.9254006112,10.9254006112,-33.0408804454
6.7522689184,28.6030701409,-8.6143488480
-10.9254006112,10.9254006112,15.8121827495
-17.6776695297,6.7522689184,25.0055903613
-28.6030701409,10.9254006112,21.3573238948
0.0000000000,17.6776695297,19.3237519848
-28.6030701409,17.6776695297,28.2959788302
-28.6030701409,28.6030701409,21.1361431285
0.0000000000,28.6030701409,12.1639162831
28.6030701409,28.6030701409,9.7724663755
17.6776695297,35.3553390593,6.2608971403
28.6030701409,35.3553390593,20.7782651310
35.3553390593,28.6030701409,18.7446932210
28.6030701409,28.6030701409,21.1361431285
35.3553390593,0.0000000000,-19.1025712185
46.2807396705,0.0000000000,-3.8694472328
39.5284707521,0.0000000000,-6.2608971403
39.5284707521,0.0000000000,-24.6477123638
46.2807396705,0.0000000000,-15.2331239857
28.6030701409,10.9254006112,-21.3573238948
35.3553390593,10.9254006112,-0.5790587638
28.6030701409,17.6776695297,-9.9091636068
39.5284707521,17.6776695297,5.3239603790
46.2807396705,10.9254006112,3.2903884690
28.6030701409,17.6776695297,-28.2959788302
35.3553390593,10.9254006112,-30.3295507403
-46.2807396705,10.9254006112,15.0964267545
-35.3553390593,17.6776695297,18.1656344572
-46.2807396705,6.7522689184,14.8752459882
-39.5284707521,10.9254006112,24.0686536000
-39.5284707521,17.6776695297,5.3239603790
-46.2807396705,10.9254006112,3.2903884690
-28.6030701409,28.6030701409,20.4203871335
-28.6030701409,35.3553390593,20.7782651310
-28.6030701409,28.6030701409,27.7169200665
-39.5284707521,17.6776695297,24.4265315975
-35.3553390593,28.6030701409,18.7446932210
-35.3553390593,17.6776695297,29.9716727428
