# 720 via positions -- Opera Numerorum -- Battle Plan v1.6
# David Fox -- June 2026
# M8E: 24 layers x 30 icosahedral edge midpoints, rotated 15 deg/layer
# H3 icosahedral symmetry. Substrate: Rogers 4350B, 0.1mm pitch.
# Total vias: 720 (same as M8G 120-cell). k_c(H3) ~ 2.13.
via_id,layer,angle_deg,x_mm,y_mm,z_mm,r_mm,theta_deg
321,11,150.0,-2.498877,-0.074928,1.0,2.5,-178.2825
322,11,150.0,-1.916641,3.56219,1.0,4.045085,118.2825
323,11,150.0,-4.043268,-0.121236,1.0,4.045085,-178.2825
324,11,150.0,-3.683426,2.126627,1.0,4.253254,150.0
325,11,150.0,-2.858719,-2.32279,1.0,3.683426,-140.9052
326,11,150.0,-1.916641,3.56219,1.0,4.045085,118.2825
327,11,150.0,1.184549,-2.201555,1.0,2.5,-61.7175
328,11,150.0,-2.858719,-2.32279,1.0,3.683426,-140.9052
329,11,150.0,-2.498877,-0.074928,1.0,2.5,-178.2825
330,11,150.0,-4.043268,-0.121236,1.0,4.045085,-178.2825
331,12,165.0,2.160128,2.983534,1.1,3.683426,54.0948
332,12,165.0,2.394337,0.719132,1.1,2.5,16.7175
333,12,165.0,-1.713991,1.819955,1.1,2.5,133.2825
334,12,165.0,0.0,0.0,1.1,0.0,0.0
335,12,165.0,-0.378959,3.66388,1.1,3.683426,95.9052
336,12,165.0,3.874119,1.163579,1.1,4.045085,16.7175
337,12,165.0,2.160128,2.983534,1.1,3.683426,54.0948
338,12,165.0,1.100823,4.108328,1.1,4.253254,75.0
339,12,165.0,3.874119,1.163579,1.1,4.045085,16.7175
340,12,165.0,2.773296,-2.944749,1.1,4.045085,-46.7175
341,12,165.0,1.713991,-1.819955,1.1,2.5,-46.7175
342,12,165.0,4.108328,-1.100823,1.1,4.253254,-15.0
343,12,165.0,-0.378959,3.66388,1.1,3.683426,95.9052
344,12,165.0,2.394337,0.719132,1.1,2.5,16.7175
345,12,165.0,0.0,0.0,1.1,0.0,0.0
346,12,165.0,-1.713991,1.819955,1.1,2.5,133.2825
347,12,165.0,0.378959,-3.66388,1.1,3.683426,-84.0948
348,12,165.0,2.773296,-2.944749,1.1,4.045085,-46.7175
349,12,165.0,0.378959,-3.66388,1.1,3.683426,-84.0948
350,12,165.0,-1.100823,-4.108328,1.1,4.253254,-105.0
351,12,165.0,-2.394337,-0.719132,1.1,2.5,-163.2825
352,12,165.0,-2.773296,2.944749,1.1,4.045085,133.2825
353,12,165.0,-3.874119,-1.163579,1.1,4.045085,-163.2825
354,12,165.0,-4.108328,1.100823,1.1,4.253254,165.0
355,12,165.0,-2.160128,-2.983534,1.1,3.683426,-125.9052
356,12,165.0,-2.773296,2.944749,1.1,4.045085,133.2825
357,12,165.0,1.713991,-1.819955,1.1,2.5,-46.7175
358,12,165.0,-2.160128,-2.983534,1.1,3.683426,-125.9052
359,12,165.0,-2.394337,-0.719132,1.1,2.5,-163.2825
360,12,165.0,-3.874119,-1.163579,1.1,4.045085,-163.2825
361,13,180.0,1.314328,3.440955,1.2,3.683426,69.0948
362,13,180.0,2.126627,1.314328,1.2,2.5,31.7175
363,13,180.0,-2.126627,1.314328,1.2,2.5,148.2825
364,13,180.0,0.0,0.0,1.2,0.0,0.0
365,13,180.0,-1.314328,3.440955,1.2,3.683426,110.9052
366,13,180.0,3.440955,2.126627,1.2,4.045085,31.7175
367,13,180.0,1.314328,3.440955,1.2,3.683426,69.0948
368,13,180.0,0.0,4.253254,1.2,4.253254,90.0
369,13,180.0,3.440955,2.126627,1.2,4.045085,31.7175
370,13,180.0,3.440955,-2.126627,1.2,4.045085,-31.7175
371,13,180.0,2.126627,-1.314328,1.2,2.5,-31.7175
372,13,180.0,4.253254,-0.0,1.2,4.253254,-0.0
373,13,180.0,-1.314328,3.440955,1.2,3.683426,110.9052
374,13,180.0,2.126627,1.314328,1.2,2.5,31.7175
375,13,180.0,0.0,0.0,1.2,0.0,0.0
376,13,180.0,-2.126627,1.314328,1.2,2.5,148.2825
377,13,180.0,1.314328,-3.440955,1.2,3.683426,-69.0948
378,13,180.0,3.440955,-2.126627,1.2,4.045085,-31.7175
379,13,180.0,1.314328,-3.440955,1.2,3.683426,-69.0948
380,13,180.0,-0.0,-4.253254,1.2,4.253254,-90.0
381,13,180.0,-2.126627,-1.314328,1.2,2.5,-148.2825
382,13,180.0,-3.440955,2.126627,1.2,4.045085,148.2825
383,13,180.0,-3.440955,-2.126627,1.2,4.045085,-148.2825
384,13,180.0,-4.253254,0.0,1.2,4.253254,180.0
385,13,180.0,-1.314328,-3.440955,1.2,3.683426,-110.9052
386,13,180.0,-3.440955,2.126627,1.2,4.045085,148.2825
387,13,180.0,2.126627,-1.314328,1.2,2.5,-31.7175
388,13,180.0,-1.314328,-3.440955,1.2,3.683426,-110.9052
389,13,180.0,-2.126627,-1.314328,1.2,2.5,-148.2825
390,13,180.0,-3.440955,-2.126627,1.2,4.045085,-148.2825
391,14,195.0,0.378959,3.66388,1.3,3.683426,84.0948
392,14,195.0,1.713991,1.819955,1.3,2.5,46.7175
